date,platform,campaign_name,creative_name,impressions,clicks,spend,conversions,revenue,format,objective,topic,purchases,add_to_carts,view_content,page_views
2024-01-01,Meta,Spring Sale Campaign,Product Video A,50000,2500,1250.00,150,3750.00,video,Conversions,Product Demo,125,200,800,1500
2024-01-01,Meta,Spring Sale Campaign,Carousel Ad B,45000,2250,1125.00,135,3375.00,carousel,Conversions,Product Demo,110,180,720,1350
2024-01-01,Google,Brand Awareness,Search Ad A,30000,1500,750.00,90,2250.00,text,Traffic,Brand Messaging,75,120,480,900
2024-01-01,TikTok,Viral Campaign,Short Video C,80000,2400,1200.00,100,3000.00,video,Reach,UGC Content,90,150,600,1200
2024-01-02,Meta,Spring Sale Campaign,Product Video A,52000,2600,1300.00,155,3900.00,video,Conversions,Product Demo,130,210,840,1560
2024-01-02,Meta,Spring Sale Campaign,Carousel Ad B,47000,2350,1175.00,140,3500.00,carousel,Conversions,Product Demo,115,190,750,1410
2024-01-02,Google,Brand Awareness,Search Ad A,32000,1600,800.00,95,2400.00,text,Traffic,Brand Messaging,80,130,520,960
2024-01-02,TikTok,Viral Campaign,Short Video C,82000,2460,1230.00,105,3150.00,video,Reach,UGC Content,95,155,620,1230
2024-01-03,Meta,Spring Sale Campaign,Product Video A,48000,2400,1200.00,145,3625.00,video,Conversions,Product Demo,120,190,760,1440
2024-01-03,Meta,Spring Sale Campaign,Carousel Ad B,43000,2150,1075.00,130,3250.00,carousel,Conversions,Product Demo,105,170,680,1290
2024-01-03,Google,Brand Awareness,Search Ad A,28000,1400,700.00,85,2125.00,text,Traffic,Brand Messaging,70,110,440,840
2024-01-03,TikTok,Viral Campaign,Short Video C,78000,2340,1170.00,100,2925.00,video,Reach,UGC Content,85,145,590,1170
